1,"Patron (See Ted's Cigars)","","","","","","","",
2,"Paul Garmirian 20th Anniversary Symphony 20 Belicoso","6.25","52","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Bombones Extra","3.5","46","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Connoisseur ","6","52","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Connoisseur LE 2013","6","52","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Corona Extra LE 2013","5.5","46","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Robusto LE 2013","5.25","52","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Short Robusto ","4.5","52","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 20th Anniversary Symphony 20 Solomones","6.875","57","DR","DR/HON","ECU","Colorado Maduro","Full",
2,"Paul Garmirian 25th Anniversary Connoisseur","6","52","DR","SEC","SEC","Colorado Maduro","Medium",
2,"Paul Garmirian Artisan Selection No. 1","7.25","50","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 2 ","6","50","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 3","5","50","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 4","5.5","52","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 5","5","52","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 6","7","48","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 7","4.5","48","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 8","6.25","46","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan Selection No. 9","5.25","42","DR","DR","CTS","Colorado Claro","Mild-Medium",
2,"Paul Garmirian Artisan's Passion Short Robusto ","4.5","52","DR","DR","DR","Colorado","Medium-Full",
2,"Paul Garmirian Artisan's Passion Super Robusto ","5","54","DR","DR","DR","Colorado","Medium-Full",
2,"Paul Garmirian Artisan's Passion Toro","6","52","DR","DR","DR","Colorado","Medium-Full",
2,"Paul Garmirian Family Reserve Celebration 1996","6.5","52","DR","SEC","SEC","Colorado Claro","Medium",
2,"Paul Garmirian Gourmet II Belicoso Fino","5.5","52","DR","DR","CTS","Colorado Claro","Medium",
2,"Paul Garmirian Gourmet II Connoisseur ","6","50","DR","DR","CTS","Colorado Claro","Medium",
2,"Paul Garmirian Gourmet II Robusto","5","50","DR","DR","CTS","Colorado Claro","Medium",
2,"Paul Garmirian Gourmet II Torpedo","6.25","52","DR","DR","CTS","Colorado Claro","Medium",
2,"Paul Garmirian Gourmet Series 15th Anniversary Belicoso Extra","6.75","52","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Bombones","3.5","43","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Celebration","9","50","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Churchill ","7","48","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Connoisseur ","6","52","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Corona","5.5","42","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Corona Extra","5.5","46","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary No. 5","4","40","DR","DR","NIC","Colorado Maduro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Robusto ","5","52","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series 15th Anniversary Short Robusto","4","50","DR","DR","NIC","Colorado Claro","Full",
2,"Paul Garmirian Gourmet Series Belicoso ","6.25","52","DR","DR","CTS/ECU","Rosado","Medium",
