1,"Bucareli"
2,"Buckshot"
3,"Buena Vista"
4,"Buenaventura %28See Curivari%29"
5,"Bufido"
6,"Bugatti %28by Perdomo%29"
7,"Buho %28Famous Cigars%29"
8,"Buho Cigars"
9,"Bull City Cigars"
10,"Bulldog"
11,"Bulldog Replacements"
12,"Bunch %28by Plasencia%29"
13,"Bundle King"
14,"Bundle Selection %28Cusano%29"
15,"Bundles"
16,"Burma"
17,"Buscal Buivl"
18,"Bustillo"
19,"Butera"
20,"Byron"
21,"C%26C"
22,"C%26V"
23,"C. E. Beck"
24,"C.C.I. Royal Satin Selection"
25,"C.E.O."
26,"C.Gars Ltd"
27,"C.O. Jones"
28,"Cabaiguan"
29,"Cabal"
30,"Caballeros"
31,"Cabanas"
32,"Cabanas %28Cuban%29"
33,"Cabanas y Carbajal"
34,"Cabita"
35,"Cabo Classic"
36,"Cabo Rojo"
37,"Cacique"
38,"Cacique Miami"
39,"Cadenza"
40,"Caiman"
41,"Cain %28See Oliva%2F Studio Tabac%29"
42,"Calderilla"
43,"Caldwell Cigar Co."
44,"Calibre 58"
45,"Calixto Lopez"
46,"Calixto Lopez %28Nic%29"
47,"Calle 8 Ocho"
48,"Calle Ocho"
49,"Callisto"
50,"Camacho"
