1,"Dry Slitz Regular","5.5","34","USA","DR/USA","HMG","Colorado Claro","Mild",
2,"Duality Gordo","6","60","DR","CRI","CT/ECU/MEX","Multiple","Medium",
2,"Duality Robusto","5","52","DR","CRI","CT/ECU/MEX","Multiple","Medium",
2,"Duality Toro","5.5","54","DR","CRI","CT/ECU/MEX","Multiple","Medium",
3,"Duarte 1884 Corona","5.25","42","DR","DR","INDO/SUM","Colorado Maduro","Medium",
3,"Duarte 1884 Grand Corona","6.75","46","DR","DR","INDO/SUM","Colorado Maduro","Medium",
3,"Duarte 1884 Presidente","7.5","50","DR","DR","INDO/SUM","Colorado Maduro","Medium",
3,"Duarte 1884 Robusto","5.5","50","DR","DR","INDO/SUM","Colorado Maduro","Medium",
4,"Duck Commander (Ted's Cigars) Toro","6","50","DR","DR/USA","ECU/HAB","Colorado","Mild",
5,"Due Mundi Cigarillo","3.5","20","DR","NIC/PER","PA","Colorado Maduro","",
5,"Due Mundi Osba","5.5","64","DR","NIC/PER","PA","Colorado Maduro","",
5,"Due Mundi T","8","64","DR","NIC/PER","PA","Colorado Maduro","",
6,"Dulce Maria Churchill","7","48","DR","DR","INDO","Colorado Claro","Mild-Medium",
6,"Dulce Maria Corona","6","44","DR","DR","INDO","Colorado Claro","Mild-Medium",
6,"Dulce Maria Corona Grande","6.5","46","DR","DR","INDO","Colorado Claro","Mild-Medium",
7,"Dumante (See Ted's Cigars)","","","","","","","",
8,"Dunbarton Tobacco & Trust Mi Querida Ancho Corto","5","52","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Ancho Largo","6","52","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Fino Largo","6","48","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Gordita","4.25","48","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Mas Sucia","7","64","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Muy Gordo Grande","6","56","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Pequeno Pequeno","4","44","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida SakaKhan","7","50","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Mi Querida Short Gordo Grande","4.75","56","NIC","NIC","CTB","Maduro","Medium-Full",
8,"Dunbarton Tobacco & Trust Sobremesa Cervantes Fino ","6.25","46","NIC","NIC/PA","ECU","Rosado","Medium-Full",
8,"Dunbarton Tobacco & Trust Sobremesa Corona Grande","5.25","44","NIC","NIC/PA","ECU","Rosado","Medium-Full",
8,"Dunbarton Tobacco & Trust Sobremesa Diademas DeLuxe","6.25","60","NIC","NIC/PA","ECU","Rosado","Medium-Full",
8,"Dunbarton Tobacco & Trust Sobremesa El Americano","6","52","NIC","NIC/PA","ECU","Rosado","Medium-Full",
8,"Dunbarton Tobacco & Trust Sobremesa Elegante en Cedros","7","50","NIC","NIC/PA","ECU","Rosado","Medium-Full",
