1,"Biarritz"
2,"Bidwell Blend"
3,"Big Al%27s"
4,"Big And Beefy %28JR Cigars%29"
5,"Big Boys %28Two Guys Smoke Shop%29"
6,"Big Butt"
7,"Big Chief"
8,"Big City"
9,"Big Dog"
10,"Big Shots"
11,"Bijao"
12,"Biker Boy International"
13,"Biker%27s Butt"
14,"Bill Bromley"
15,"Binnys"
16,"Black Abyss"
17,"Black Cat"
18,"Black Crown"
19,"Black Hawk"
20,"Black Knight"
21,"Black Label Trading Company"
22,"Black Ops %28by K. Hansotia%29"
23,"Black Patch"
24,"Black Sheep"
25,"Black Tie"
26,"Black Works Studio"
27,"Blackstone"
28,"Blair"
29,"Blanco %28Formerly Los Blancos%29"
30,"Blanco y Woermann"
31,"Blanton%27s"
32,"Blarney Stone"
33,"Blenders Clearing House"
34,"Blender%27s Gold"
35,"Blessed Leaf"
36,"Blood Red Moon %28See Cult%29"
37,"Bloodline"
38,"Blue Banana"
39,"Blue Haze"
40,"Blue Label"
41,"Blue Mountain"
42,"Blue Parrot"
43,"Blue Ribbon Segundos by Drew Estate"
44,"Blue Train"
45,"Bluewater"
46,"Bluntville"
47,"Boardwalk"
48,"Bobalu"
49,"Boca Monte"
50,"Bocanada"
