1,"XXO 30 Year Old","6","46","NIC","NIC","ECU","Colorado Claro","Full",
1,"XXO 30 Year Old","5","50","NIC","NIC","ECU","Colorado Claro","Full",
1,"XXO 30 Year Old","6","52","NIC","NIC","ECU","Colorado Claro","Full",
1,"XXO 30 Year Old (torpedo)","6","54","NIC","NIC","ECU","Colorado Claro","Full",
1,"XXO Apertivo","5.5","44","CR","DR/HON/NIC","ECU","Colorado Claro","Full",
1,"XXO Apertivo","5.5","44","CR","DR/HON/NIC","CTB/USA","Maduro","Full",
1,"XXO Belicoso Fino","6","54","CR","DR/HON/NIC","ECU","Colorado Claro","Full",
1,"XXO Belicoso Fino","6","54","CR","DR/HON/NIC","CTB/USA","Maduro","Full",
1,"XXO Epicure","6","50","CR","DR/HON/NIC","ECU","Colorado Claro","Full",
1,"XXO Epicure","6","50","CR","DR/HON/NIC","CTB/USA","Maduro","Full",
1,"XXO Series R","5","50","CR","DR/HON/NIC","ECU","Colorado Claro","Full",
1,"XXO Series R","5","50","CR","DR/HON/NIC","CTB/USA","Maduro","Full",
1,"XXO Titanium Apertivo","5.5","44","NIC","NIC","CAM","Colorado Maduro","Medium",
1,"XXO Titanium Belicoso","6","54","NIC","NIC","CAM","Colorado Maduro","Medium",
1,"XXO Titanium Epicure","6","50","NIC","NIC","CAM","Colorado Maduro","Medium",
1,"XXO Titanium R Serie","5","50","NIC","NIC","CAM","Colorado Maduro","Medium",
1,"XXO Titanium Titanica","9.5","48","NIC","NIC","CAM","Colorado Maduro","Medium",
2,"XZAR Capo 6x62","6","62","CR","CR","CR","Colorado Claro","Medium-Full",
2,"XZAR Capo Mini Gordo","4","62","CR","CR","CR","Maduro","Full",
2,"XZAR Capo Robusto","5","52","CR","CR","CR","Maduro","Mild",
2,"XZAR Capo Torpedo","6","55","CR","CR","CR","Colorado","Medium-Full",
3,"Y.B. Squires","5","42","USA","DR/USA","HMG","Colorado Claro","Medium",
4,"Yago Cazadores","7","44","HON","","","","",
4,"Yago Churchill","7.5","50","HON","","","","",
4,"Yago Fumas","7","44","HON","","","","",
4,"Yago Petit Cazadores","5.5","44","HON","","","","",
5,"Yankee Clipper Churchill (Double Corona)","7","50","DR","DR","INDO","Colorado Maduro","Medium",
5,"Yankee Clipper Churchill Maduro","7","50","DR","DR","BRA","Maduro","Medium",
5,"Yankee Clipper Robusto","5","50","DR","DR","INDO","Colorado Maduro","Medium",
5,"Yankee Clipper Robusto Maduro","5","50","DR","DR","BRA","Maduro","Medium",
5,"Yankee Clipper Toro","6","50","DR","DR","INDO","Colorado Maduro","Medium",
5,"Yankee Clipper Toro Maduro","6","50","DR","DR","BRA","Maduro","Medium",
5,"Yankee Clipper Torpedo","6","52","DR","DR","INDO","Colorado Maduro","Medium",
5,"Yankee Clipper Torpedo Maduro","6","52","DR","DR","BRA","Maduro","Medium",
6,"Yaquiba (Haiti) Churchill","","","HAI","DR/HAI","DR","Naturale","",
6,"Yaquiba (Haiti) Corona","6","42","HAI","DR/HAI","DR","Naturale","",
6,"Yaquiba (Haiti) Robusto","","","HAI","DR/HAI","DR","Naturale","",
7,"Ybor Cigars Plus Churchill Maduro","7","50","USA","","","Maduro","Medium-Full",
