11,"Esteban Carreras 1961 Limitada Corona","5.5","42","DR","DR/NIC","CAM","Colorado Maduro","Medium",
11,"Esteban Carreras 1961 Limitada Gran Corona","6.5","50","DR","DR/NIC","CAM","Colorado Maduro","Medium",
11,"Esteban Carreras 1961 Limitada Robusto","5","50","DR","DR/NIC","CAM","Colorado Maduro","Medium",
11,"Esteban Carreras 211 Corona ","6","44","DR","NIC","ECU","Colorado","Medium",
11,"Esteban Carreras 211 Sixty","6","60","DR","ECU","NIC","Colorado","Medium",
11,"Esteban Carreras 211 Toro","6","50","DR","ECU","NIC","Colorado","Medium",
11,"Esteban Carreras 211 Torpedo","6.75","52","DR","ECU","NIC","Colorado","Medium",
11,"Esteban Carreras 5150 (Corona/ Lonsdale) 6 x 44 ","6","44","NIC","NIC","ECU/SUM","Colorado","Medium",
11,"Esteban Carreras 5150 Sixty","6","60","NIC","NIC","ECU/SUM","Colorado","Medium",
11,"Esteban Carreras 5150 Toro","6","50","NIC","NIC","ECU/SUM","Colorado","Medium",
11,"Esteban Carreras 5150 Torpedo","6.75","52","NIC","NIC","ECU/SUM","Colorado","Medium",
11,"Esteban Carreras Black Cross Bonita","4","43","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Black Cross Cervantas","5.75","46","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Black Cross Corona","5.5","46","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Black Cross Robusto","5","50","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Black Cross Sixty","6","60","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Black Cross Toro","6","50","NIC","NIC","HAB","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Bronze Cross Figurado","6.5","52","NIC","NIC","SUM","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Bronze Cross Sixty","6","60","NIC","NIC","SUM","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Bronze Cross Toro","5.5","54","NIC","NIC","SUM","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Bronze Cross Torpedo","6.25","54","NIC","NIC","SUM","Colorado Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Chupitas Maduro","4","42","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Corona Habano Oscuro","6","44","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Corona Maduro","6","44","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Double Corona Habano Oscuro","7","54","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Gorditos Maduro","5.5","56","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Lancero Habano Oscuro","7","44","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Robusto Grande Maduro","5","54","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Robusto Habano Oscuro","5","54","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Siglo Habano Oscuro","5","54","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Siglo Maduro","6","54","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Sixty Habano Oscuro ","6","60","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Sixty Maduro","6","60","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Toro Habano Oscuro ","6","50","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Chupa Cabra Toro Maduro","6","54","NIC","NIC","NIC","Maduro","Medium-Full",
11,"Esteban Carreras Chupa Cabra Torpedo Habano Oscuro","6.25","54","NIC","NIC","NIC","Colorado","Full",
11,"Esteban Carreras Connecticut (12 Year aged) Belicoso","6.25","52","HON","NIC","CTS/USA","Claro","Mild-Medium",
11,"Esteban Carreras Connecticut (12 Year aged) Churchill","7","50","HON","NIC","CTS/USA","Claro","Mild-Medium",
11,"Esteban Carreras Connecticut (12 Year aged) Gran Corona (Toro)","6","50","HON","NIC","CTS/USA","Claro","Mild-Medium",
11,"Esteban Carreras Connecticut (12 Year aged) Robusto","5","50","HON","NIC","CTS/USA","Claro","Mild-Medium",
11,"Esteban Carreras Covenant Double Corona","7","54","NIC","NIC","HAB","Colorado","Full",
11,"Esteban Carreras Covenant Double Corona Maduro","7","54","NIC","NIC","HAB","Maduro","Full",
11,"Esteban Carreras Covenant Robusto ","5.5","54","NIC","NIC","HAB","Colorado","Full",
11,"Esteban Carreras Covenant Robusto Maduro","5.5","54","NIC","NIC","HAB","Maduro","Full",
11,"Esteban Carreras Covenant Toro","6","54","NIC","NIC","HAB","Colorado","Full",
11,"Esteban Carreras Covenant Toro Maduro","6","54","NIC","NIC","HAB","Maduro","Full",
12,"Esteli Overruns Churchill Connecticut","7","48","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Churchill Habano","7","48","NIC","NIC","NIC","Colorado","Mild-Medium",
12,"Esteli Overruns Corona Connecticut","6","44","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Corona Habano","6","44","NIC","NIC","NIC","Colorado","Mild-Medium",
12,"Esteli Overruns Double Corona Connecticut","7","54","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Gran Toro Connecticut","7","54","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Gran Toro Habano","6","60","NIC","NIC","NIC","Colorado","Mild-Medium",
12,"Esteli Overruns Robusto Connecticut","5","50","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Robusto Habano","5","50","NIC","NIC","NIC","Colorado","Mild-Medium",
12,"Esteli Overruns Short Gordo Connecticut","5.5","56","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Toro Connecticut","6","50","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Toro Habano","6","50","NIC","NIC","NIC","Colorado","Mild-Medium",
12,"Esteli Overruns Torpedo Connecticut","6.25","52","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
12,"Esteli Overruns Torpedo Habano","6.25","52","NIC","NIC","NIC","Colorado","Mild-Medium",
13,"Esteli Ruiz Churchill","7","50","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Churchill Maduro","7","50","USA","NIC","HAB/NIC","Maduro","",
13,"Esteli Ruiz Cuban Round","6.5","54","USA","NIC","HAB/NIC","Colorado Maduro","",
13,"Esteli Ruiz Double Corona Habano","6.5","50","USA","NIC","HAB/NIC","Colorado Maduro","",
13,"Esteli Ruiz Double Corona Natural","6.5","50","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Fuma Cognic","6","42","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Gordito","5","64","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Numero Uno","6.5","54","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Perfecto Maduro","6","48","USA","NIC","HAB/NIC","Maduro","",
13,"Esteli Ruiz Robusto","6","50","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Rothchild Double Wrapper","5","52","USA","NIC","CTS/HAB","Multiple","",
13,"Esteli Ruiz Rothchild Habano","5","50","USA","NIC","HAB/NIC","Colorado Maduro","",
13,"Esteli Ruiz Rothchild Natural","5","50","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Salomon Habano","7","58","USA","NIC","HAB/NIC","Colorado Maduro","",
13,"Esteli Ruiz Toro Double Wrapper","6","52","USA","NIC","CTS/HAB","Multiple","",
13,"Esteli Ruiz Torpedo Double Wrapper","6","52","USA","NIC","CTS/HAB","Multiple","",
13,"Esteli Ruiz Torpedo Especial","6","54","USA","NIC","CTS","Colorado Claro","",
13,"Esteli Ruiz Torpedo Maduro","6","54","USA","NIC","HAB/NIC","Maduro","",
13,"Esteli Ruiz Torpedo Shaggy","7","54","USA","NIC","HAB/NIC","Colorado Maduro","",
14,"Esteliano Chairman Connecticut","6","50","NIC","NIC","CT","Claro","Medium",
14,"Esteliano Chairman Habano","6","50","NIC","NIC","HAB","Colorado Claro","Medium",
14,"Esteliano Robusto Connecticut","5","52","NIC","NIC","CT","Claro","Medium",
14,"Esteliano Robusto Habano","5","52","NIC","NIC","HAB","Colorado Claro","Medium",
14,"Esteliano Toro Connecticut","6","53","NIC","NIC","CT","Claro","Medium",
14,"Esteliano Toro Habano","6","53","NIC","NIC","HAB","Colorado Claro","Medium",
14,"Esteliano Torpedo Connecticut","6.125","52","NIC","NIC","CT","Claro","Medium",
14,"Esteliano Torpedo Habano","6.125","52","NIC","NIC","HAB","Colorado Claro","Medium",
15,"Estilo Cubano (See Ventura Cigar)","","","","","","","",
16,"Estrella Coronita","5.5","38","MEX","MEX","INDO/SUM","Colorado Claro","Mild",
16,"Estrella Lonsdale","6.5","42","MEX","MEX","INDO/SUM","Colorado Claro","Mild",
16,"Estrella Toro","6","50","MEX","MEX","INDO/SUM","Colorado Claro","Mild",
17,"Estrella Blanca Corona Gorda","6","50","MEX","MEX","MEX","Colorado Claro","Mild",
17,"Estrella Blanca Lonsdale","6","42","MEX","MEX","MEX","Colorado Claro","Mild",
17,"Estrella Blanca Robusto","5","50","MEX","MEX","MEX","Colorado Claro","Mild",
18,"Eterno (by Perdomo) Churchill Connecticut","7","54","NIC","NIC","CT","Colorado Claro","Medium",
18,"Eterno (by Perdomo) Churchill Maduro","7","54","NIC","NIC","NIC","Maduro","Medium",
18,"Eterno (by Perdomo) Robusto Connecticut","5","54","NIC","NIC","CT","Colorado Claro","Medium",
18,"Eterno (by Perdomo) Robusto Maduro","5","54","NIC","NIC","NIC","Maduro","Medium",
18,"Eterno (by Perdomo) Toro Connecticut","6","54","NIC","NIC","CT","Colorado Claro","Medium",
18,"Eterno (by Perdomo) Toro Maduro","6","54","NIC","NIC","NIC","Maduro","Medium",
18,"Eterno (by Perdomo) Torpedo Connecticut","7","54","NIC","NIC","CT","Colorado Claro","Medium",
18,"Eterno (by Perdomo) Torpedo maduro","7","54","NIC","NIC","NIC","Maduro","Medium",
19,"Ether Big Bang","6","60","DR","DR","DR","Colorado","Full",
19,"Ether Element","6","52","DR","DR","DR","Colorado","Full",
19,"Ether Flux","5","54","DR","DR","DR","Colorado","Full",
19,"Ether M.E.","5.75","46","DR","DR","DR","Colorado","Full",
20,"Etiqueta Azul Belicoso","6","50","NIC","NIC","CTS/ECU","Colorado Claro","",
20,"Etiqueta Azul Churchill","6.75","48","NIC","NIC","CTS/ECU","Colorado Claro","Mild",
20,"Etiqueta Azul Robusto","5","48","NIC","NIC","CTS/ECU","Colorado Claro","",
21,"Euforia Nicaraguan Luxury Belicoso","5","54","NIC","NIC","ECU/HAB","Colorado","Full",
21,"Euforia Nicaraguan Luxury Churchill","7","50","NIC","NIC","ECU/HAB","Colorado","Full",
