1,"Esperanza Torpedo","","","","","","","",
2,"Espinosa Alpha Dawg Robusto","5","50","NIC","NIC","HAB","Rosado","Medium-Full",
2,"Espinosa Alpha Dawg Toro","6","48","NIC","NIC","HAB","Rosado","Medium-Full",
2,"Espinosa Backroom Series 2015 The Alibi","6","48","NIC","SEC","ECU","Rosado","Medium-Full",
2,"Espinosa Classico Churchill Ecuador","7","48","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Churchill Indonesia","7","48","HON","DR/INDO/NIC","IND","Colorado Maduro","Medium-Full",
2,"Espinosa Classico Corona Ecuador","5.5","44","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Corona Indonesia","5.5","44","HON","DR/INDO/NIC","INDO","Colorado Maduro","Medium-Full",
2,"Espinosa Classico Lancero Ecuador","7.5","38","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Lonsdale Ecuador","6","44","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Piramide Ecuador","7","54","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Presidente Ecuador","7","50","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Robusto Ecuador","5","50","HON","DR/INDO/NIC","CTS/ECU","Colorado Claro","Medium-Full",
2,"Espinosa Classico Robusto Indonesia","5","50","HON","DR/INDO/NIC","INDO","Colorado Maduro","Medium-Full",
2,"Espinosa E Doble 6x60","6","60","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa E Doble Churchill","7","50","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa E Doble Gran Toro","6.5","54","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa E Doble Robusto","5","50","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa E Doble Toro","6","50","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa E Doble Torpedo","6","52","NIC","NIC","HAB/NIC","Colorado","Medium",
2,"Espinosa Especial No.1","6.5","48","NIC","NIC","MEX","Maduro","Medium-Full",
2,"Espinosa Especial No.4","5","52","NIC","NIC","MEX","Maduro","Medium-Full",
2,"Espinosa Especial No.5 ","6","54","NIC","NIC","MEX","Maduro","Medium-Full",
2,"Espinosa Estella Grand Corona","5.625","46","NIC","NIC","HAB","Colorado","Full",
2,"Espinosa Estella Grand Toro","6.25","54","NIC","NIC","HAB","Colorado","Full",
2,"Espinosa Estella Robusto","5.5","52","NIC","NIC","HAB","Colorado","Full",
2,"Espinosa Gold Churchill Ecuador","7.5","50","DR","DR","CTS/ECU","Colorado Claro","Mild-Medium",
2,"Espinosa Gold Churchill Indonesia","7.5","50","DR","DR","INDO","Colorado Maduro","Mild-Medium",
2,"Espinosa Gold Corona Ecuador","5.5","44","DR","DR","CTS/ECU","Colorado Claro","Mild-Medium",
2,"Espinosa Gold Corona Indonesia","5.5","44","DR","DR","INDO/USA","Colorado Maduro","Mild-Medium",
2,"Espinosa Gold Londsdale Ecuador","6","44","DR","DR","CTS/ECU","Colorado Claro","Mild-Medium",
2,"Espinosa Gold Piramide Ecuador","7","52","DR","DR","CTS/ECU","Colorado Claro","Mild-Medium",
2,"Espinosa Gold Piramide Indonesia","7","52","DR","DR","INDO","Colorado Maduro","Mild-Medium",
2,"Espinosa Gold Robusto Ecuador","5","50","DR","DR","CTS/ECU","Colorado Claro","Mild-Medium",
2,"Espinosa Gold Robusto Indonesia","5","50","DR","DR","INDO/SUM","Colorado Maduro","Mild-Medium",
2,"Espinosa Habano Belicoso","5.5","52","NIC","NIC","HAB","Colorado Maduro","Medium",
2,"Espinosa Habano Corona (2013 Limited Edition)","5","42","NIC","NIC","HAB","Colorado Maduro","Medium",
2,"Espinosa Habano Robusto ","5","52","NIC","NIC","HAB","Colorado Maduro","Medium",
2,"Espinosa Habano Toro ","6","52","NIC","NIC","HAB","Colorado Maduro","Medium",
2,"Espinosa Habano Trabuco ","6","60","NIC","NIC","HAB","Colorado Maduro","Medium",
2,"Espinosa La Zona Connecticut Robusto ","5","52","NIC","NIC","CTS","Claro","Medium",
2,"Espinosa La Zona Connecticut Super Toro","6.5","52","NIC","NIC","CTS","Claro","Medium",
2,"Espinosa La Zona Factory Selects Boss","7","50","NIC","NIC","ECU/HAB","Colorado","Full",
2,"Espinosa La Zona Factory Selects Brawn","5","50","NIC","NIC","ECU/HAB","Colorado","Full",
2,"Espinosa La Zona Factory Selects Bullet","6.125","52","NIC","NIC","ECU/HAB","Colorado","Full",
2,"Espinosa La Zona Factory Selects Burl","6","50","NIC","NIC","ECU/HAB","Colorado","Full",
2,"Espinosa La Zona Habano Robusto ","5","52","NIC","NIC","ECU/HAB","Colorado Maduro","Medium-Full",
2,"Espinosa La Zona Habano Super Toro","6.5","52","NIC","NIC","HAB/NIC","Colorado Maduro","Medium-Full",
2,"Espinosa La Zona Sensei's Sensational Sarsaparilla ","5.5","52","NIC","SEC","MEX","Rosado","Full",
2,"Espinosa La Zona Sensei's Sensational Sarsaparilla II","6","50","NIC","SEC","MEX","Rosado","Full",
2,"Espinosa Maduro Belicoso Box Pressed","5.5","52","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao Maduro Belicoso","5.5","52","NIC","NIC","ECU/SUM","Maduro","Full",
3,"Espinosa y Ortega (EO brands) Cubao Maduro Churchill ","7","48","NIC","NIC","ECU/SUM","Maduro","Full",
3,"Espinosa y Ortega (EO brands) Cubao Maduro Robusto Extra ","6.125","52","NIC","NIC","ECU/SUM","Maduro","Full",
3,"Espinosa y Ortega (EO brands) Cubao Maduro Rothchild ","4.75","50","NIC","NIC","ECU/SUM","Maduro","Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 1 ","7.13","49","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 2 ","6.125","52","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 3","7.5","38","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 4 ","4.88","50","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 5 ","6.13","50","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 6 ","5.5","52","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Cubao No. 7 ","6","42","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Cubao No. 8","6","60","NIC","NIC","ECU/SUM","Colorado Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) EO No. 21 Doble Corona (Churchill)","7.5","52","NIC","HON/NIC/PAN","CTS/ECU","Colorado Claro","Medium",
3,"Espinosa y Ortega (EO Brands) EO No. 21 Robusto ","5","50","NIC","HON/NIC/PAN","CTS/ECU","Colorado Claro","Medium",
3,"Espinosa y Ortega (EO Brands) EO No. 21 Toro","6","52","NIC","HON/NIC/PAN","CTS/ECU","Colorado Claro","Medium",
3,"Espinosa y Ortega (EO Brands) EO No. 21 Torpedo ","6","52","NIC","HON/NIC/PAN","CTS/ECU","Colorado Claro","Medium",
3,"Espinosa y Ortega (EO brands) Murcielago Belicoso (Box Press) ","5.5","52","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Murcielago Churchill (Box Press)","7","48","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Churchill (Round) (7.125x48)","7.125","48","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Churchill (Round) (7x48)","7","48","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Gordo (Round)","6","60","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Robusto (Box Press) (5.25x50)","5.25","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Murcielago Robusto (Box Press) (5x50) ","5","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Robusto (Box Press) (5x52)","5","52","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Robusto (Round) (5.25x50)","5.25","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Robusto (Round) (5x50)","5","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Murcielago Rothschild (Box Press) ","4.125","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Murcielago Toro (Box Press) ","6.125","50","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO brands) Murcielago Toro Grande (Box Press)","6.5","54","NIC","NIC","MEX","Maduro","Medium-Full",
3,"Espinosa y Ortega (EO Brands) Murcielago Toro Grande (Round)","6.5","54","NIC","NIC","MEX","Maduro","Medium-Full",
4,"Esplendido Churchill","7","50","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Churchill (tubed)","7","50","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Cognac Luxury Churchill (tubed)","7","50","DR","DR","CAM","Colorado Maduro","Mild",
4,"Esplendido Cognac Luxury Toro (tubed)","5.75","50","DR","DR","CAM","Colorado Maduro","Mild",
4,"Esplendido Lonsdale","6.75","44","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Lonsdale Chocolate","6.75","44","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Lonsdale Rum","6.75","44","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Lonsdale Vanilla","6.75","44","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Petite","5","36","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Petite Chocolate","5","36","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Petite Rum","5","36","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Petite Vanilla","5","36","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Toro Gordo","5","52","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Toro Gordo Maduro","5","52","DR","DR","CTB/USA","Maduro","Mild",
4,"Esplendido Toro Regular","5.75","50","DR","DR","CTS/USA","Colorado Claro","Mild",
4,"Esplendido Toro Regular (tubed)","5.75","50","DR","DR","CTS/USA","Colorado Claro","Mild",
4,"Esplendido Toro Regular Maduro","5.75","50","DR","DR","CTB/USA","Maduro","Mild",
4,"Esplendido Toro Regular Maduro (tubed)","5.75","50","DR","DR","CTB/USA","Maduro","Mild",
4,"Esplendido Torpedo","6.25","50","DR","DR","INDO","Colorado Maduro","Mild",
4,"Esplendido Torpedo Maduro","6.25","50","DR","DR","CTB/USA","Maduro","Mild",
4,"Esplendido Torpedo Maduro","6.25","50","DR","DR","CTB/USA","Maduro","Mild",
5,"ESQ Churchill","7","48","DR","DR/INDO/PHI","ECU/SUM","Colorado Claro","Medium",
5,"ESQ Lonsdale","6","43","DR","DR/INDO/PHI","ECU/SUM","Colorado Claro","Medium",
5,"ESQ Presidente","8","50","DR","DR/INDO/PHI","ECU/SUM","Colorado Claro","Medium",
5,"ESQ Robusto","4.5","50","DR","DR/INDO/PHI","ECU/SUM","Colorado Claro","Medium",
5,"ESQ Toro","6","50","DR","DR/INDO/PHI","ECU/SUM","Colorado Claro","Medium",
6,"Esse Flavored Cigars Amaretto","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Cherry","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Chocolate","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Cinnamon","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Pink Champagne","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Rum","5.5","40","KOR","","","","",
6,"Esse Flavored Cigars Vanilla","5.5","40","KOR","","","","",
7,"Est. 1844 Anejado No. 50 ","4.5","50","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 Anejado No. 50-xtra ","6","50","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 Anejado No. 52 ","7","52","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 Anejado No. 54 ","5.7","54","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 Anejado No. 58 ","7.1","58","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 Anejado No. 60 ","6","60","NIC","NIC","MEX","Maduro","Full",
7,"Est. 1844 No 2. Dos Capas Corona ","5","42","NIC","NIC","PA/SUM","Multiple","Medium",
8,"Estavan Belicoso","6","54","DR","BRA/DR/NIC","ECU","Colorado Claro","Mild",
8,"Estavan Churchill","6.875","48","DR","BRA/DR/NIC","ECU","Colorado Claro","Mild",
8,"Estavan Pancho","5.5","52","DR","BRA/DR/NIC","ECU","Colorado Claro","Mild",
8,"Estavan Robusto","5","50","DR","BRA/DR/NIC","ECU","Colorado Claro","Mild",
9,"Estavan Cruz Belicoso","","","","","","","",
9,"Estavan Cruz Belicoso","","","","","","Maduro","",
9,"Estavan Cruz Churchill","6.87","48","","BRA/DR/MEX","ECU","","",
9,"Estavan Cruz Churchill","6.87","48","","BRA/DR/MEX","CTB","Maduro","",
9,"Estavan Cruz Corona Gigante","7","54","","BRA/DR/MEX","ECU","","",
9,"Estavan Cruz Corona Gigante","7","54","","BRA/DR/MEX","CTB","Maduro","",
9,"Estavan Cruz Lonsdale","6.25","44","","BRA/DR/MEX","ECU","","",
9,"Estavan Cruz Lonsdale","6.25","44","","BRA/DR/MEX","CTB","Maduro","",
9,"Estavan Cruz Panchos","5.5","52","","BRA/DR/MEX","ECU","","",
9,"Estavan Cruz Panchos","5.5","52","","BRA/DR/MEX","CTB","Maduro","",
9,"Estavan Cruz Robusto","5","50","","BRA/DR/MEX","ECU","","",
9,"Estavan Cruz Robusto","5","50","","BRA/DR/MEX","CTB","Maduro","",
9,"Estavan Cruz Short Cruz","4","52","","HON","CT","Maduro","",
10,"Esteban Carrera Churchill Corojo","7","48","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Churchill Maduro","7","48","HON","HON/NIC","NIC","Maduro","Medium",
10,"Esteban Carrera Corona Corojo","5.5","43","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Corona Grande Corojo","6.5","47","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Corona Grande Maduro","6.5","47","HON","HON/NIC","NIC","Maduro","Medium",
10,"Esteban Carrera Corona Maduro","5.5","43","HON","HON/NIC","NIC","Maduro","Mild",
10,"Esteban Carrera Double Corona "Impresso" Corojo","7.5","52","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Double Corona "Impresso" Maduro","7.5","52","HON","HON/NIC","NIC","Maduro","Medium",
10,"Esteban Carrera Petite Belicoso Corojo","5.5","52","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Petite Belicoso Maduro","5.5","52","HON","HON/NIC","NIC","Maduro","Medium",
10,"Esteban Carrera Robusto Corojo","5","50","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Robusto Maduro","5","50","HON","HON/NIC","NIC","Maduro","Medium",
10,"Esteban Carrera Toro Corojo","6","52","HON","HON/NIC","COR/NIC","Colorado Claro","Mild-Medium",
10,"Esteban Carrera Toro Maduro","6","52","HON","HON/NIC","NIC","Maduro","Medium",
11,"Esteban Carreras 187 Sixty ","6","60","NIC","NIC","NIC","Maduro","Medium",
11,"Esteban Carreras 187 Toro","6","50","NIC","NIC","NIC","Maduro","Medium",
11,"Esteban Carreras 187 Torpedo","6.75","52","NIC","NIC","NIC","Maduro","Medium",
11,"Esteban Carreras 1961 Limitada Belicoso","6.25","52","DR","DR/NIC","CAM","Colorado Maduro","Medium",
