1,"XXO"
2,"XZAR"
3,"Y.B."
4,"Yago"
5,"Yankee Clipper"
6,"Yaquiba %28Haiti%29"
7,"Ybor Cigars Plus"
8,"Ybor Gold"
9,"Yellow Band"
10,"Ynego Montoya"
11,"Yumuri"
12,"Zahi"
13,"Zelo de Cuba"
14,"Zemis"
15,"Zengotita"
16,"Zeus %28Corona Cigar Co.%29"
17,"Z%2DGar"
18,"Zigari"
19,"Zino"
20,"Ziq"
21,"Zoidian"
