1,"MD (Indonesia) Robusto","5","50","INDO","","","Colorado Claro","Mild",
2,"MD Cigars Connecticut Churchill","8","52","HON","DR/NIC","CT","Colorado Claro","",
2,"MD Cigars Connecticut Robusto","5","50","HON","DR/NIC","CT","Colorado Claro","",
2,"MD Cigars Connecticut Torpedo","6.5","52","HON","DR/NIC","CT","Colorado Claro","",
2,"MD Cigars Cuban Sandwich Churchill","7","50","HON","DR/NIC","SEC","Colorado Maduro","",
2,"MD Cigars Cuban Sandwich Lonsdale","6.75","46","HON","DR/NIC","SEC","Colorado Maduro","",
2,"MD Cigars Cuban Sandwich Petite Corona","5.12","40","HON","DR/NIC","SEC","Colorado Maduro","",
2,"MD Cigars Cuban Sandwich Torpedo","6.5","52","HON","DR/NIC","SEC","Colorado Maduro","",
2,"MD Cigars Honduran Handmade Churchill","7","48","HON","HON/NIC","CT","Colorado Maduro","",
2,"MD Cigars Honduran Handmade Robusto","5","50","HON","HON/NIC","CT","Colorado Maduro","",
2,"MD Cigars Honduran Handmade Torpedo","6","54","HON","HON/NIC","CT","Colorado Maduro","",
2,"MD Cigars Nicaraguan Sun Grown Churchill","7","48","NIC","NIC","NIC","Colorado Maduro","",
2,"MD Cigars Nicaraguan Sun Grown Robusto","5","50","NIC","NIC","NIC","Colorado Maduro","",
2,"MD Cigars Nicaraguan Sun Grown Torpedo","6","54","NIC","NIC","NIC","Colorado Maduro","",
3,"Meccarillos Filter Cigarillo","3.25","21","FRA","BRA/INDO","SUM","Colorado Claro","",
4,"Medal Of Honor No. 300","","","HON","","","","",
4,"Medal Of Honor No. 500","","","HON","","","","",
4,"Medal Of Honor No. 700","","","HON","","","","",
4,"Medal Of Honor The Best Ever","6.25","48","HON","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium-Full",
4,"Medal Of Honor The Dark Star","6.25","54","HON","HON/NIC/DR","CTB","Oscuro","Medium-Full",
4,"Medal Of Honor The Intellect","6.25","45","HON","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium-Full",
4,"Medal Of Honor The Shadow Prince","6.25","45","HON","HON/NIC/DR","CTB","Oscuro","Medium-Full",
4,"Medal Of Honor The Special","6.25","54","HON","DR/HON/NIC","ECU/SUM","Colorado Claro","Medium-Full",
4,"Medal Of Honor The Sweet Deal","6.25","48","HON","HON/NIC/DR","CTB","Oscuro","Medium-Full",
5,"Mederos Cubanacan Churchill Sumatra","7","50","NIC","NIC","SUM","Colorado Maduro","Medium",
5,"Mederos Cubanacan Gordito Curly","4","64","NIC","NIC","CT/ECU","Naturale","Mild-Medium",
5,"Mederos Cubanacan Gordito Curly Oscuro","4","64","NIC","NIC","NIC","Oscuro","Mild-Medium",
5,"Mederos Cubanacan Gordito Oscuro","3.5","58","NIC","NIC","NIC","Oscuro","Mild-Medium",
5,"Mederos Cubanacan Robusto Sumatra","5","50","NIC","NIC","SUM","Colorado Maduro","Medium",
5,"Mederos Cubanacan Toro Sumatra","6","50","NIC","NIC","SUM","Colorado Maduro","Medium",
5,"Mederos Fifty 1 Robusto","5","50","NIC","NIC","COR/NIC","Colorado Claro","Medium-Full",
5,"Mederos Fifty 2 Toro","6","50","NIC","NIC","COR/NIC","Colorado Claro","Medium-Full",
5,"Mederos Fifty 3 Torpedo","6.125","52","NIC","NIC","COR/NIC","Colorado Claro","Medium-Full",
5,"Mederos Fifty 4 Double Corona","6.75","50","NIC","NIC","COR/NIC","Colorado Claro","Medium-Full",
5,"Mederos Fifty 5","5","58","NIC","NIC","NIC","Colorado Claro","Medium",
5,"Mederos Fifty Limited Edition Salomon","7.25","57","NIC","NIC","NIC","Colorado Claro","Medium",
5,"Mederos Robusto","5","50","USA","NIC","ECU","Colorado Claro","",
6,"Mederos Cubanacan Edicion especial","5","50","NIC","NIC","SUM","Maduro","Medium-Full",
7,"Medici (by Alec Bradley) Botticelli","6","60","HON","HON/MEX/NIC/PER","NIC","Colorado Maduro","Medium-Full",
7,"Medici (by Alec Bradley) Cosimo","5","52","HON","HON/MEX/NIC/PER","NIC","Colorado Maduro","Medium-Full",
7,"Medici (by Alec Bradley) Lorenzo","6","56","HON","HON/MEX/NIC/PER","NIC","Colorado Maduro","Medium-Full",
