2,"Davidoff (Cuban) Chateau Yquem","6","42","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) Dom Perignon","7","47","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 1","7.5","38","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 1000","4.625","34","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 2","6","38","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 2000","5.1","42","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 3000","7","33","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 4000","6.1","42","CUB","CUB","CUB","Colorado Claro","",
2,"Davidoff (Cuban) No. 5000","5.625","46","CUB","CUB","CUB","Colorado Claro","",
3,"Davies Cuban Churchill","7","48","","","","","",
3,"Davies Cuban Lonsdale","6.5","44","","","","","",
3,"Davies Cuban Presidente","7.5","50","","","","","",
3,"Davies Cuban Robusto","5","50","","","","","",
3,"Davies Cuban Robusto Blonde","5.5","50","","","","","",
3,"Davies Cuban Titan","6","60","","","","","",
3,"Davies Cuban Toro","6","50","","","","","",
3,"Davies Cuban Torpedo","6","52","","","","","",
4,"DAWA Churchill","7","47","CR","NIC","NIC","Naturale","",
4,"DAWA Dalia","5.88","42","CR","NIC","NIC","Naturale","",
4,"DAWA Robusto","4.88","50","CR","NIC","NIC","Naturale","",
5,"DCO Bundle Selecion Figurados","4.5","48","DR","DR","CT","Colorado Maduro","Mild-Medium",
5,"DCO Bundle Selection Churchills","6.75","48","DR","DR","CT","Colorado Maduro","Mild-Medium",
5,"DCO Bundle Selection Coronas","5","43","DR","DR","CT","Colorado Maduro","Mild-Medium",
5,"DCO Bundle Selection Robustos","5","48","DR","DR","CT","Colorado Maduro","Mild-Medium",
6,"D'Crossier Diplomacy Series Limited Edition 2008 Churchill","7","47","CR","CR/DR","ECU","Colorado Claro","Mild",
6,"D'Crossier Diplomacy Series Limited Edition 2008 Doble Corona","7.5","49","CR","CR/DR","ECU","Colorado Claro","Mild",
6,"D'Crossier Diplomacy Series Limited Edition 2008 robusto","4.875","50","CR","CR/DR","ECU","Colorado Claro","Mild",
6,"D'Crossier Diplomacy Series Limited Edition 2008 Taino","6.5","54","CR","CR/DR","ECU","Colorado Claro","Mild-Medium",
6,"D'Crossier Diplomacy Series Limited Edition 2008 torpedo","6.125","52","CR","CR/DR","ECU","Colorado Claro","Mild",
6,"D'Crossier Diplomacy Series Presidential Collection Bullet","5.125","58","CR","DR","CR","Colorado","Medium-Full",
6,"D'Crossier Diplomacy Series Presidential Collection Gordito","4.25","52","CR","DR","CR","Colorado","Medium-Full",
6,"D'Crossier Diplomacy Series Presidential Collection Robusto","4.875","50","CR","DR","CR","Colorado","Medium-Full",
6,"D'Crossier Diplomacy Series Presidential Collection Taino","5.875","54","CR","DR","CR","Colorado","Medium-Full",
6,"D'Crossier Diplomacy Series Presidential Collection Trabuco","5.125","60","CR","DR","CR","Colorado","Medium-Full",
6,"D'Crossier Diplomacy Series Tubos Doble Trabuco","7.875","56","CR","CR/DR","ECU","Colorado Claro","Medium",
6,"D'Crossier Diplomacy Series Tubos Taino","5.875","54","CR","CR/DR","ECU","Colorado Claro","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Campana","6","54","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Coloniales","5.125","44","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Corona Gorda","5.5","46","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Geniales","6.5","54","CR","CR/DR","ECU/HAB","Colorado","Medium",
