11,"Dolce Vita Coffee Light Dual Wrappers 654 Figuarado","6","54","DR","DR","CTB/CTS","Multiple","Mild-Medium",
11,"Dolce Vita Coffee Light Dual Wrappers BP Gran Torpedo","6","54","DR","DR","CTB/CTS","Multiple","Mild-Medium",
11,"Dolce Vita Coffee Light Dual Wrappers BP Robusto Grande","5","54","DR","DR","CTB/CTS","Multiple","Mild-Medium",
11,"Dolce Vita Coffee Light Dual Wrappers BP Short Torpedo ","4.5","54","DR","DR","CTB/CTS","Multiple","Mild-Medium",
11,"Dolce Vita Coffee Light Dual Wrappers Figuarado","4.5","54","DR","DR","CTB/CTS","Multiple","Mild-Medium",
11,"Dolce Vita Coffee Light Dual Wrappers Lancero","7","39","DR","DR","CTB/CTS","Multiple","Mild",
11,"Dolce Vita Coffee Light Dual Wrappers Robusto Grande","5","54","DR","DR","CTB/CTS","Multiple","Mild",
11,"Dolce Vita Connecticut Tip Coffee Dark Maduro Lancero","7","39","DR","DR","CTB/CTS","Multiple","Mild",
11,"Dolce Vita Exotic Petite Corona","4","38","DR","DR","CTS","Claro","Mild-Medium",
11,"Dolce Vita Exotic Robusto Gordo ","5","54","DR","DR","CTS","Claro","Mild-Medium",
11,"Dolce Vita Maduro Tip Coffee Light Connecticut Lancero","7","39","DR","DR","CTB/CTS","Multiple","Mild",
11,"Dolce Vita Sweet Tip Connecticut Churchill","7","48","DR","DR","CTS","Colorado Claro","Mild-Medium",
11,"Dolce Vita Sweet Tip Connecticut Cigarillo","4.75","28","DR","DR","CTS","Colorado Claro","Mild-Medium",
11,"Dolce Vita Sweet Tip Connecticut Corona","5","38","DR","DR","CTS","Colorado Claro","Mild-Medium",
11,"Dolce Vita Sweet Tip Connecticut Gordo","6","60","DR","DR","CTS","Colorado Claro","Mild-Medium",
11,"Dolce Vita Sweet Tip Connecticut Lonsdale","6","42","DR","DR","CTS","Colorado Claro","Mild-Medium",
11,"Dolce Vita Sweet Tip Connecticut Toro","6","50","DR","DR","CTS","Colorado Claro","Mild-Medium",
12,"Dom Quixote Churchill","6.5","45","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Churchill","6.5","45","BRA","BRA","BRA","Maduro","Medium",
12,"Dom Quixote Corona","5.5","45","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Corona","5.5","45","BRA","BRA","BRA","Maduro","Medium",
12,"Dom Quixote Corona(Short Filler)","5.5","45","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Double Corona","7.5","48","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Double Corona","7.5","48","BRA","BRA","BRA","Maduro","Medium",
12,"Dom Quixote Robusto","5","48","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Robusto","5","48","BRA","BRA","BRA","Maduro","Medium",
12,"Dom Quixote Robusto(Short Filler)","5","48","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Torpedo","6.3","53","BRA","BRA","BRA","Colorado Maduro","Mild-Medium",
12,"Dom Quixote Torpedo","6.3","53","BRA","BRA","BRA","Maduro","Medium",
13,"Domaine de Lavalette Brazil Robusto Extra","5.5","50","BRA","BRA","BRA","Colorado Claro","Medium",
13,"Domaine de Lavalette Classic (grey) 660","6","60","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Corona","6","42","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Double Corona","7.5","50","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Extremo","10","66","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Panatela","6.5","36","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Petit Corona","4","42","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Petit Robusto","5.25","50","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Piramide","6.5","52","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Primero","4","36","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Robusto","5","50","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic (grey) Small Panatella","5","30","DR","DR","DR","Colorado Claro","Mild-Medium",
13,"Domaine de Lavalette Classic Honduras Churchill","6.8","45","HON","HON","HON","Colorado","Medium",
13,"Domaine de Lavalette Classic Honduras Corona","6","40","HON","HON","HON","Colorado","Medium",
13,"Domaine de Lavalette Classic Honduras Gran Robusto Maduro","6","60","HON","HON","HON","Maduro","Medium",
13,"Domaine de Lavalette Classic Honduras Mini Robusto Maduro","3","52","HON","HON","HON","Maduro","Medium",
13,"Domaine de Lavalette Classic Honduras Petit Corona","4.6","22","HON","HON","HON","Colorado","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) 460","4","60","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) 460 Maduro","4","60","DR","DR","DR","Maduro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Corona","6","42","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Double Corona","7.5","50","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Jumbo 660","6","60","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Jumbo 660 Maduro","6","60","DR","DR","DR","Maduro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Panatela","6.5","36","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Petit Robusto Maduro","4","50","DR","DR","DR","Maduro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Robusto","5","50","DR","DR","DR","Claro","Medium",
13,"Domaine de Lavalette Mild Premium (Blue band) Robusto Maduro","5","50","DR","DR","DR","Maduro","Medium",
