1,"General Honduran"
2,"Gentleman Rooster"
3,"Genuine"
4,"Genuine Counterfeit"
5,"George Rico %28See Gran Habano%2F Rico Family%29"
6,"Georges Reserve"
7,"Gerant%27s"
8,"Gerard Pere et Fils"
9,"Geronimo"
10,"Giaconda"
11,"Gil Gonzales Davila"
12,"Gilbert de Montsalvat"
13,"Gilberto Cubana"
14,"Gilberto Oliva"
15,"Gioconda"
16,"Gispert"
17,"Gispert %28Cuban%29"
18,"Gloria de La Romana"
19,"Gloria de Leon %28See Curivari%29"
20,"Gloria Palmera"
21,"Gobernadores"
22,"God of Fire"
23,"Gold Rush"
24,"Gold Strike %28by Royal Gold%29"
25,"Golden Class %28Felipe Gregorio%29"
26,"Golden Harvest"
27,"Golden Sun"
28,"Golfers%27 Choice"
29,"Gomez Sanchez Family"
30,"Gonzalez Habano Co."
31,"Good Karma"
32,"Good Times"
33,"Gordos"
34,"Gorel Unicos"
35,"Gorilla Fingers"
36,"Got Your 6"
37,"Gourmet Dessert"
38,"Governor%27s"
39,"Goya"
40,"Grabs"
41,"Gramercy"
42,"Gran Alfonso Cigars"
43,"Gran Apertura"
44,"Gran Cantidad"
45,"Gran Cuba"
46,"Gran Habano%2F Rico Family"
47,"Gran Havana"
48,"Gran Momba"
49,"Gran Vida by Rocky Patel"
50,"Gran Virrey"
